English|Sanskrit
Doraemon's prediction|दोरेमोनस्य भविष्यवाणी
I'm home.|गृहम् आगतः अहम्!
I'm leaving.|बहिर्गच्छामि!
Magical Hand from the 2nd century|द्वाविंशति-शताब्दात् मायामय-हस्तम्!
Don't play any weird tricks!|विचित्र-विनोदः मास्तु!
I really wanted to find you though.|त्वां कथञ्चिदपि अन्वेष्टुम् इष्टवान् अहम्।
You're going to Shizu-chan's, aren't you?|षिज़ोः गृहं गमिष्यसि किल?
Yup.|आम्!
She told you she gets lonely when she house-sits, right?|गृहे एकान्ततः तिष्ठति इत्यतः क्रीडितुम् आहूतवती किल?
How did you know?|सम्यक् जानासि एव।
Don't go!!|मा गच्छ!
It's none of your business!!|तव कः सम्बन्धः?
Let me show you what will happen if you go.|गमिष्यसि चेत् किं भविष्यति इति दर्शयामि!
The album again?|पुनः भावचित्र-राशिः?
1970: ran over by a dump truck.|सप्तत्युत्तर-नवदश-तमे वर्षे भारवाहक-यानेन सङ्घटितः।
On the way to shizu-chan's, you got run over and sustained injuries that took one month to completely heal!|यदा षिज़ोः गृहे गच्छन् आसीः तदा मार्गे दुर्घाटानायां व्रणितोः जातः। उपचर्ये मासस्य एकस्य समयः जातः।
For starters, your already idiotic brain will get worse..|प्रथमतः इतोऽपि मूर्खः भविष्यसि।
R-re..Reall..?|स..स..सत्यं वा?
You'd better not do anything and stay home today.|किमपि न कुरु। गृहे एव तिष्ठतु।
All right.|अस्तु!
I'm sure Shizu-chan will get mad, though..|किन्तु षिज़ुः मे क्रुध्यति एव।
You've got a phone call from shizu-chan.|षिज़्वा त्वं दूरवाण्यां आहुतः।
Wah, what should I do?|किं कर्तव्यं मया?
Let me take care of things for you. I'll just tell her you can't go.|तव साहाय्यं करोमि। तव स्थाने तां वदामि यत् आगन्तुं न शक्नोषि।
Hello?|हरि ओम्!
I'm very sorry, but..|क्षन्तव्यः! किन्तु...
Eh, wou..|भोः
Would you let me speak a bit?|मह्यम् अपि वदितुम् अवकाशं प्रदद!
Oh! you've got a funny new manga huh?|अहो! नूतन-विचित्र-चित्र-कथालब्धा?
I see. A special home-made cake too?|स्व-निर्मितं विशिष्टं मधुरपिष्टकम् अपि किम्?
I told her we'd be over there shortly.|शीघ्रमेव आगमिष्यामि इति मया उक्तम्।
Whaat?|किम्म्म्?
Don't you even care if I get in an accident?|दुर्घटना स्यात् इति चिन्ता नास्ति किम्?
You should always keep your promises though.|किन्तु प्रतिज्ञा सदैव पालनीया।
I'll walk with you.|त्वया सह चलिष्यामि।
Things will be okay if I'm with you.|त्वया सह चलिष्यामि चेत् सर्वं समीचिनं भविष्यति।
I'd better say goodbye to my parents..|गमनात् पूर्वं मातापितरौ स्व-प्रास्थानिकं वक्तुं वरम्...
Thank you for taking care of me all this time.|अधुना पर्यन्तं पालनं-पोषणार्थं कार्तज्ञं वितरामि।
I'm very happy that you treated me so well all this time.|भवतोः पालनं बहु सुख-दायकम् आसीत्।
But today might be my last day seeing you.|किन्तु भवन्तौ द्रष्टुम् अयं दिवसः अन्तिमः।
Stop acting so strangely...|विचित्रं मा जल्प..
Where are you heading off to?|कुत्र गमिष्यसि?
Shizu-chan's|षिज़ुकायाः गृहम्।
Well cut it out, you're exaggerating.|अतिचिन्ता मास्तु।
Which way should we go?|कुतः गम्यताम्?
Shizu-chan's house is in this direction.|षिज़ोः गृहम् अनेन मार्गेण।
Let's be cautious.|सावधानतया गन्तव्यः एव।
Let's see where we'll be in a bit with TIME T.V|अचिरात् कुत्र भविष्यावः इति समयदर्शिनी-द्वारा पश्यावः।
We'll Be over THERE IN about 10 seconds.|दश-क्षणेभ्यः परं प्राप्स्यावः।
Run or you'll be hit by a car over there.|धाव नो चेत् कार-यानेन सङ्घट्टयिष्यसि।
This is Dangerous.|अपायकरमेव।
I guess we'll just take a detour.|इतरेण मार्गेण गच्छाव।
Yeah, we should be okay now.|आम्! आवां सुरक्षितौ भवेताम्।
WAAAH, you broke my car.|हाऽऽऽऽऽऽ! मम यानं भञ्जितम् जातम्।
Sorry, I wasn't paying attention.|क्षम्यतामेव! भ्रान्त्या जातमेवम्।
I guess that is like an accident.|तत् तु दुर्घटना-सदृशम् इति मन्ये।
We're still not out of danger yet, it seems.|किन्तु इदानीमपि अपायः न दूरीभूतः।
I suppose so.|एवमेव स्यात्।
You should always look ahead when you're walking. You could run into something.|चलन-समये अग्रं द्रष्टव्यम्। सम्पातः भवेत्।
Something might come from behind too, so be careful.|पृष्ठतः अपि किमपि आगच्छेत्। सावधानम्।
Didn't I just say to look ahead? Pay attention.|इदानीमेव अग्रे पश्य इति कथितं किल मया? अवधातव्यम्।
How can I look book ways at the same time!?|समकालम् उभे दिशौ कथं द्रष्टुं शक्यते?
Let me take out the time t.v.|समय-दर्शनी दृश्यताम्।
This road's really wide|अयं मार्गः बहु विस्तारः एव।
We should be able to see a car if it's coming towards us.|किमपि यानम् आगच्छति चेत् द्रष्टुं शक्यते।
Whee!|अहो!!
Well then let's go this way.|अस्तु! इतः गच्छाव!
Careful|सावधानम्!!
Follow me!|
Watch out!|सावधानम्!!
We can't go any further|इतोऽपि अग्रे गन्तुं न शक्यते।
Where can we go?|कुतः गम्यते?
Ah!|अहो!
We don't have to look for another path!|अन्यस्य मार्गस्य अन्वेषणम् अनावश्यकम्।
We should be safe if we go through people's houses.|जनानां गृगाणां द्वारा गमिष्यावः चेत् आवां सुरिक्षितौ भविष्यावः।
What!?|किम्!?
We've got no other option.|अन्यः कोऽपि विकल्पः नास्ति।
Excuse us.|क्षम्यताम्।
I feel like a thief!|चोरवत् अहम्।
Quit whining!|मास्तु वितण्डा।
Is she practicing how to drive in her backyard?|पृष्ठाङ्गणे यान-चालन-अभ्यासः?
Get out of the way?! I can't stop it!!|सावधानम्! यानं स्थागयितुं न शक्नोमि!
This backyard's small. We should be safe here.|पृष्ठाङ्गणमिदं लघु। अत्र सुरक्षितौ आवाम्।
Why're you trespassing in my backyard?|किमर्थं मम पृष्ठाङ्गणे अतिक्रमः?
You two must be thieves!|चौर्यार्थं किम्?
Are you possibly a truck driver?|किं भवान् भार-यान-चालकः?
How'd ya know?|कथं ज्ञायते?
I knew it! It just had to be related to cars in some way!|अवगतं मया। कथञ्चित् अपि यानैः सम्बन्धः भवेत्।
What? You were trying to get away from all the cars? Well, you've come to the wrong place.|किम्? यानेभ्यः पलायसि किम्? किन्तु अनुचित-स्थले आगतवान् त्वम्।
Why?|किमर्थम्?
We're at the bottom of a steep hill.|प्रवण-पर्वतस्य अधः तिष्ठामः।
Dump trucks're always crashin' down here|भारयानानि सदैव अत्र संपतन्ति।
See?|दृश्यते वा?
Bah! Bye!|ग-गच्छावः।
I know!!|अवगतम्।
There's one route that'll definitely be safe!|एकः मार्गः अस्ति यः निश्चयेन सुरक्षितः।
We should be safe if we walk on the rooftops.|आलिन्देषु चलनं सुरक्षितम्।
Why didn't you think of this earlier?|किमर्थं पूर्वं न चिन्तितम् एवम्।
You are so stupid.|मन्दः एव।
You too.|त्वम् अपि?
No car can get up here.|अत्र यानं कथम् आगच्छेत्।
Watch out.|सावधानम्!
I'm tired of this! Let's just go home.|मास्तु एव। गृहं गच्छाव।
It is too late. If we turn around, something bad will happen.|बहु-विलम्बः जातः। पुनर्गमने अपि असाधु जनितुं शक्यते।
It is your fate, don't fight it.|इदं दैवम्। न विरोधयितव्यम्।
Stop being so irresponsible.|दायित्वहीनता मास्तु।
I knew something like this would happen. I was getting worried about you two, so I came.|ईदृशं भविष्यति इति पूर्वमेव ज्ञातं मया। बहु-चिन्तितः सन् आगतः अहम्।
Sewashi-kun.|सेवाषे।
Help us!|त्राहि आवाम्।
You're so dumb, Doraemon.|डोरेमोन, त्वं मन्दः।
I can't let you take care of grandpa alone if you're this careless.|त्वम् एतावत् अनवधानश्चेत् कथम् एकाकिने ते तातस्य पालनस्य अवसरः दीयताम्।
Don't call me dumb.|मन्दः मा कथ्यै।
Don't call me Grandpa.|तातः मा कथ्यै।
Why didn't you just fly him with the take-coptor.|वंश-उदग्रयानेन उड्डयितुं शक्यते किल।
I feel so ashamed.|लज्जास्पदमेव।
It looks like we got here in one piece.|सुरक्षित-गन्तव्य-प्राप्तिः।
I was bored, so I asked some of the neighbouring kids to come over to play.|नीरसा आसम् अत एव प्रतिवेशि-बालाः अत्र क्रीडितुम् आहूताः।
I'm glad.|आश्वस्तः अहम्।
Why are you so happy?|किमर्थम्?
I'm just glad your injury's only this bad. You would've looked like this otherwise!|ईयत् एव व्रणितः जातः त्वम्। नो चेत् ईदृशं दृश्यते स्यात्।
